Iteration,Mu,Sigma,alpha
181,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.768078
182,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.763077
183,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.758076
184,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.753075
185,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.748074
186,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.743073
187,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.73807
188,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.73307
189,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.72807
190,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.72307
191,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.718067
192,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.713066
193,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289356  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.708065
194,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.703064
195,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.698063
196,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.69306
197,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.68806
198,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.68306
199,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.67806
200,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.673058
201,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.668056
202,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.663055
203,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.658054
204,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.653053
205,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.648052
206,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.64305
207,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.63805
208,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.63305
209,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.628048
210,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.623047
211,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.618046
212,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.613045
213,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.608044
214,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.603043
215,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.59804
216,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.59304
217,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.58804
218,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.58304
219,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.578037
220,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.573036
221,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.568035
222,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.563034
223,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.558033
224,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.553032
225,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.54803
226,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.54303
227,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.53803
228,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.533028
229,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.528027
230,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.523026
231,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.518024
232,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.513023
233,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.508022
234,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.50302
235,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.49802
236,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.49302
237,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.488018
238,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.483017
239,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.478016
240,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.473015
241,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.468014
242,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.463013
243,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.45801
244,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.45301
245,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.44801
246,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.44301
247,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.438007
248,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.433006
249,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.428005
250,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.423004
251,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.418003
252,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.413002
253,"[13304.81562089   844.09704976   433.34758429  4060.1206491
   139.87758114 25388.3163445  74316.04289357  1594.00658828
  5295.16185153  1052.51881831 16668.50470348]","[0.99999819 0.99999999 1.         0.99999979 1.         0.99999093
 0.9999187  0.99999998 0.99999972 0.99999999 0.99999725]",-31867047886.408
